Accession,Length,Description
NZ_ANAH02000013.1,317348,"Cystobacter fuscus DSM 2262 contig13, whole genome shotgun sequence"
NZ_ANAH02000012.1,86478,"Cystobacter fuscus DSM 2262 contig12, whole genome shotgun sequence"
NZ_ANAH02000011.1,494206,"Cystobacter fuscus DSM 2262 contig11, whole genome shotgun sequence"
NZ_ANAH02000010.1,495452,"Cystobacter fuscus DSM 2262 contig10, whole genome shotgun sequence"
NZ_ANAH02000009.1,500143,"Cystobacter fuscus DSM 2262 contig9, whole genome shotgun sequence"
NZ_ANAH02000008.1,349830,"Cystobacter fuscus DSM 2262 contig8, whole genome shotgun sequence"
NZ_ANAH02000007.1,615823,"Cystobacter fuscus DSM 2262 contig7, whole genome shotgun sequence"
NZ_ANAH02000006.1,457853,"Cystobacter fuscus DSM 2262 contig6, whole genome shotgun sequence"
NZ_ANAH02000005.1,685807,"Cystobacter fuscus DSM 2262 contig5, whole genome shotgun sequence"
NZ_ANAH02000004.1,726204,"Cystobacter fuscus DSM 2262 contig4, whole genome shotgun sequence"
NZ_ANAH02000003.1,48768,"Cystobacter fuscus DSM 2262 contig3, whole genome shotgun sequence"
NZ_ANAH02000002.1,84735,"Cystobacter fuscus DSM 2262 contig2, whole genome shotgun sequence"
NZ_ANAH02000001.1,1016131,"Cystobacter fuscus DSM 2262 contig1, whole genome shotgun sequence"
ON313805.1,930,"Cystobacter fuscus isolate XL04 GTP-binding protein LepA (lepA) gene, partial cds"
ON313795.1,930,"Cystobacter fuscus isolate MT383 GTP-binding protein LepA (lepA) gene, partial cds"
ON313770.1,930,"Cystobacter fuscus isolate HM02 GTP-binding protein LepA (lepA) gene, partial cds"
JBEVLP000000000.1,1123,"MAG: Cystobacter sp. isolate T4R2UO_autometa_bin_0001, whole genome shotgun sequencing project"
NZ_MPIN00000000.1,12051756,"Cystobacter ferrugineus strain Cbfe23, whole genome shotgun sequencing project"
NZ_MPIN01000042.1,9629,"Cystobacter ferrugineus strain Cbfe23 Contig_82, whole genome shotgun sequence"
NZ_MPIN01000041.1,13921,"Cystobacter ferrugineus strain Cbfe23 Contig_52, whole genome shotgun sequence"
NZ_MPIN01000040.1,15704,"Cystobacter ferrugineus strain Cbfe23 Contig_109, whole genome shotgun sequence"
NZ_MPIN01000039.1,18401,"Cystobacter ferrugineus strain Cbfe23 Contig_58, whole genome shotgun sequence"
NZ_MPIN01000038.1,21726,"Cystobacter ferrugineus strain Cbfe23 Contig_45, whole genome shotgun sequence"
NZ_MPIN01000037.1,21739,"Cystobacter ferrugineus strain Cbfe23 Contig_41, whole genome shotgun sequence"
NZ_MPIN01000036.1,29685,"Cystobacter ferrugineus strain Cbfe23 Contig_55, whole genome shotgun sequence"
NZ_MPIN01000035.1,29359,"Cystobacter ferrugineus strain Cbfe23 Contig_85, whole genome shotgun sequence"
NZ_MPIN01000034.1,39856,"Cystobacter ferrugineus strain Cbfe23 Contig_27, whole genome shotgun sequence"
NZ_MPIN01000033.1,45505,"Cystobacter ferrugineus strain Cbfe23 Contig_33, whole genome shotgun sequence"
NZ_MPIN01000032.1,45708,"Cystobacter ferrugineus strain Cbfe23 Contig_81, whole genome shotgun sequence"
NZ_MPIN01000031.1,48785,"Cystobacter ferrugineus strain Cbfe23 Contig_123, whole genome shotgun sequence"
NZ_MPIN01000030.1,51997,"Cystobacter ferrugineus strain Cbfe23 Contig_108, whole genome shotgun sequence"
NZ_MPIN01000029.1,51869,"Cystobacter ferrugineus strain Cbfe23 Contig_11, whole genome shotgun sequence"
NZ_MPIN01000028.1,61921,"Cystobacter ferrugineus strain Cbfe23 Contig_148, whole genome shotgun sequence"
NZ_MPIN01000027.1,64290,"Cystobacter ferrugineus strain Cbfe23 Contig_154, whole genome shotgun sequence"
NZ_MPIN01000026.1,67843,"Cystobacter ferrugineus strain Cbfe23 Contig_93, whole genome shotgun sequence"
